time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Greencoat Renewables PLC,GRP,POS,Change of position,Transaction in Own Shares,0194R,17743015,0.78,-0.128,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/greencoat-renewables-cdi---grp/transaction-in-own-shares/9726157
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Winvia Entertainment PLC,WVIA,AGR,,Refinancing of Banking Facilities,0199R,17743017,241,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/winvia-entertainment-plc--wvia/refinancing-of-banking-facilities/9726159
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Ruffer Investment Company Limited,RICA,POS,Change of position,Transaction in Own Shares,0211R,17743018,299,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ruffer-investment-company-ltd-red-ptg-pref-shares--rica/transaction-in-own-shares/9726162
2026-08-18 07:00:02,2026-08-18T06:00:02.000,International Workplace Group PLC,IWG,POS,Change of position,Transaction in Own Shares,0210R,17743019,174.5,-1.189,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/iwg--iwg/transaction-in-own-shares/9726161
2026-08-18 07:00:02,2026-08-18T06:00:02.000,India Capital Growth Fund Limited,IGC,POS,Change of position,Transaction in Own Shares and Total Voting Rights,0217R,17743020,175.5,-0.847,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/india-capital-growth-fund-ltd---igc/transaction-in-own-shares-and-total-voting-rights/9726164
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Winking Studios Limited,WKS,POS,Change of position,Transaction in Own Shares,0213R,17743021,14.25,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/winking-studios-limited--wks/transaction-in-own-shares/9726163
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Renewables Infrastructure Grp (The),TRIG,POS,Change of position,Transaction in Own Shares,0207R,17743022,75.3,-0.265,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/the-renewables-infrastructure-group-limited--trig/transaction-in-own-shares/9726160
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Science Group PLC,SAG,POS,Change of position,Transaction in Own Shares,0224R,17743023,576,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/science-group--sag/transaction-in-own-shares/9726165
2026-08-18 07:00:02,2026-08-18T06:00:02.000,RIT Capital Partners PLC,RCP,POS,Change of position,Transaction in Own Shares,0226R,17743024,2605,-0.192,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/rit-capital-partners--rcp/transaction-in-own-shares/9726166
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Pantheon International PLC,PIN,POS,Change of position,Transaction in Own Shares,0229R,17743025,400.0,-1.235,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/pantheon-international--pin/transaction-in-own-shares/9726167
