time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-05 10:23:58,2026-08-05T09:23:58.000,Bradda Head Lithium Ltd,BHL,HOL,Holding(s) in company,Holding(s) in Company,3985P,17723956,2.05,-8.889,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bradda-head-lithium-limited-npv-di---bhl/holding-s-in-company/9706209
2026-08-05 10:23:00,2026-08-05T09:23:00.000,BlackRock American Income Trust Plc,BRAI,STR,Strategy/company update,Compliance with Listing Rule 15.6.8R,60805-4446,17723953,288,1.767,,,,,
2026-08-05 10:20:05,2026-08-05T09:20:05.000,BPHA Finance PLC,59DP,DOC,,bpha Financial Performance Update 2026,3940P,17723899,89.578,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bpha-finance-plc--59dp/bpha-financial-performance-update-2026/9706153
2026-08-05 10:16:55,2026-08-05T09:16:55.000,Savills PLC,SVS,HOL,Holding(s) in company,Holding(s) in Company,3939P,17723894,972,2.966,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/savills--svs/holding-s-in-company/9706148
2026-08-05 10:14:42,2026-08-05T09:14:42.000,Unite Group PLC (The),UTG,HOL,Holding(s) in company,Holding(s) in Company,3934P,17723892,540.0,0.465,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/unite-group--utg/holding-s-in-company/9706146
2026-08-05 10:13:21,2026-08-05T09:13:21.000,GAIL (India) Limited,GAID,AGM,AGM statement,AGM Statement of GAIL (India) Limited,3930P,17723891,11.1,2.304,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/gail-india-ld--gaid/agm-statement-of-gail-india-limited/9706145
2026-08-05 10:12:32,2026-08-05T09:12:32.000,MS International PLC,MSI,IOE,Issue of equity,Exercise of Options & TVR,3931P,17723890,1470.0,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ms-international--msi/exercise-of-options-tvr/9706144
2026-08-05 10:12:23,2026-08-05T09:12:23.000,Churchill China PLC,CHH,HOL,Holding(s) in company,Notification of Major Holdings ,3933P,17723889,385,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/churchill-china--chh/notification-of-major-holdings-/9706143
2026-08-05 10:00:01,2026-08-05T09:00:01.000,B&M European Value Retail PLC,BME,ADM,,Admission of Further Securities to Trading,3921P,17723879,232.8,0.779,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/b-m-european-value-retail-s-a-di---bme/admission-of-further-securities-to-trading/9706131
2026-08-05 10:00:00,2026-08-05T09:00:00.000,Legal & General Finance PLC,67DB,IR,Interim results,Half-year Report,2869P,17723878,100.405,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/legal-general-finance-plc--67db/half-year-report/9706129
