time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Touchstone Exploration Inc.,TXP,IR,Interim results,SECOND QUARTER 2026 RESULTS AND OPERATIONAL UPDATE,6452Q,17738540,8,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,"Oxy Capital - Sgoic, S.A",,NRA,,ICG: Shareholder opposition to bid by management,6447Q,17738569,,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Trekor Metals Limited,TKO,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,4609Q,17738543,635,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Acceler8 Ventures PLC,AC8,ADM,,Admission to ESCC & Adviser Appointment,6297Q,17738544,95,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Iomart Group PLC,IOM,BOA,Board appointment/change,CFO Appointment,6332Q,17738545,14.15,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,ActiveOps PLC,AOM,DSH,Director/PDMR shareholding,Grant of Contingent Share Award,6379Q,17738546,207.5,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Schroder UK Mid Cap Fund PLC,SCP,HOL,Holding(s) in company,Holding(s) in Company,6385Q,17738547,773,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Norman Broadbent PLC,NBB,DSH,Director/PDMR shareholding,Grant of new options ,6435Q,17738548,187.5,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Sound Energy PLC,SOU,BOA,Board appointment/change,Directorate change,6440Q,17738551,1.75,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Aptamer Group PLC,APTA,DSH,Director/PDMR shareholding,Director Fee Shares and Grant of Options,6446Q,17738554,0.425,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Chemring Group PLC,CHG,BOA,Board appointment/change,Directorate change,6451Q,17738556,620.0,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Dialight PLC,DIA,MSC,Miscellaneous,Employee Benefit Trust Share Purchase,2525Q,17738561,516,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Mind Gym PLC,MIND,MSC,Miscellaneous,Withdrawal of AGM Resolution,6328Q,17738562,8.5,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Residential Secure Income PLC,RESI,MSC,Miscellaneous,Initial B Share Scheme Cap Return & Prop Inc Distn,6393Q,17738563,27.6,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Filtronic PLC,FTC,HOL,Holding(s) in company,Holding(s) in Company,6511Q,17738564,269,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Mpac Group PLC,MPAC,NOR,Notice of results,Notice of Results and Investor Presentation,6395Q,17738565,330.0,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Schroder Asian Total Retn InvCo PLC,ATR,MSC,Miscellaneous,Compliance with Market Abuse Regulation,6366Q,17738566,710.0,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Central Asia Metals PLC,CAML,MSC,Miscellaneous,Availability of the Scheme Booklet and Circular ,6402Q,17738567,146,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,RTW Biotech Opportunities Ltd,RTW,MSC,Miscellaneous,Monthly Valuation Update and Factsheet,6398Q,17738568,2.61,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Liontrust Asset Management PLC,LIO,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,6183Q,17738542,315,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Harvest Minerals Limited,HMI,NOA,Notice of AGM,Notice of AGM,7202Q,17738570,0.25,,,,,,
2026-08-14 07:00:03,2026-08-14T06:00:03.000,Georgia Capital PLC,CGEO,MSC,Miscellaneous,Commencement of US$ 50 million buyback programme,7200Q,17738578,4435,,,,,,
