time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-09-17 11:02:09,2026-09-17T10:02:09.000,Alumasc Group PLC (The),ALU,HOL,Holding(s) in company,Holding(s) in Company  ,2223V,17792364,230.0,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/alumasc-group--alu/holding-s-in-company-/9777669
2026-09-17 11:01:33,2026-09-17T10:01:33.000,Alina Holdings PLC,ALNA,IR,Interim results,Alina Holdings PLC: 2026 Interim Results,2400964_en,17792367,9,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/eqs/alina-holdings--alna/alina-holdings-plc-2026-interim-results/9777673
2026-09-17 10:50:16,2026-09-17T09:50:16.000,Windar Photonics PLC,WPHO,ROI,Result of issue,Result of Retail Offer and Total Voting Rights ,2169V,17792246,5.25,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/windar-photonics--wpho/result-of-retail-offer-and-total-voting-rights-/9777551
2026-09-17 10:45:17,2026-09-17T09:45:17.000,Genus PLC,GNS,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,2171V,17792232,2152,0.093,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/genus--gns/director-pdmr-shareholding/9777537
2026-09-17 10:45:00,2026-09-17T09:45:00.000,Ten Technologies Group PLC,TENG,HOL,Holding(s) in company,Holding(s) in Company,2086V,17792231,95.5,0.526,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ten-lifestyle-group--teng/holding-s-in-company/9777536
2026-09-17 10:44:34,2026-09-17T09:44:34.000,Schroders PLC,SDR,HOL,Holding(s) in company,Holding(s) in Company,2084V,17792230,587,-0.085,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/schroders--sdr/holding-s-in-company/9777535
2026-09-17 10:32:17,2026-09-17T09:32:17.000,Hon Hai Precision Industry Co Ld,HHPD,STR,Strategy/company update,Subsidiary its distribution of dividends,2073V,17792213,15.8,0.381,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/hon-hai-precision-industry-co-ltd--hhpd/subsidiary-its-distribution-of-dividends/9777516
2026-09-17 10:30:00,2026-09-17T09:30:00.000,Forgent PLC,FORG,NRA,,Notice of Investor Presentation,2068V,17792211,0.0065,-13.333,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/forgent-plc--forg/notice-of-investor-presentation/9777513
2026-09-17 10:27:25,2026-09-17T09:27:25.000,OSB GROUP PLC,OSB,HOL,Holding(s) in company,OSB GROUP PLC - Holding(s) in company,1263232-en,17792208,519.5,0.096,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/gnw/osb-group--osb/osb-group-plc-holding-s-in-company/9777514
2026-09-17 10:20:59,2026-09-17T09:20:59.000,Prudential PLC,PRU,DIV,Dividend declaration,Scrip Reference Price,2059V,17792198,994.2,1.346,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/prudential--pru/scrip-reference-price/9777499
