time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Cirata PLC,CRTA,HOL,Holding(s) in company,Holding(s) in Company,5199U,17784188,12.85,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Alien Metals Limited,UFO,MSC,Miscellaneous,GreenTech Intersects High-Grade Copper at Whundo,6017U,17784213,0.09,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Eco Buildings Group PLC,ECOB,MSC,Miscellaneous,First Apartment Block completion expected Q4 2026,4624U,17784195,10.35,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Theracryf PLC,TCF,NOR,Notice of results,Notice of Results and Investor Presentation,5093U,17784196,0.185,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Quantum Data Energy PLC,QDE,MSC,Miscellaneous,Hindlip Enters Commercial Operations,5123U,17784198,1.2,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Legal & General Group Plc,LGEN,MSC,Miscellaneous,Commencement of Share Buyback,5147U,17784199,287.1,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,AstraZeneca PLC,AZN,MSC,Miscellaneous,Update on SERENA-4 Phase III trial,5166U,17784200,11708,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Oracle Power PLC,ORCP,MSC,Miscellaneous,Northern Zone Clears Path to Final Mining Permit,5139U,17784201,0.0425,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Asia Strategic Holdings Limited,ASIA,APP,,Change of auditor and notice of EGM ,5195U,17784202,4.75,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,GSK PLC,GSK,MSC,Miscellaneous,Jideytro positive data for ROS1-positive NSCLC,5204U,17784203,1770.5,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Technology Minerals PLC,TM1,CAN,,"Rebrand, TIDM Change, Name Change & Notice of GM",5206U,17784204,0.0575,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Meridian Mining plc,MNO,MSC,Miscellaneous,Meridian Announces Inclusion in the GDXJ,5248U,17784205,102,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Keras Resources PLC,KRS,MSC,Miscellaneous,"Proposed Investment, Disposal and Fundraise",5372U,17784206,1.4,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Hardide PLC,HDD,MSC,Miscellaneous,New Order Intake for Second-Generation Components,5377U,17784207,87.5,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Arkle Resources PLC,ARK,MSC,Miscellaneous,Extensive Uranium System Defined at ULG Target,5418U,17784208,0.65,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,GSK PLC,GSK,MSC,Miscellaneous,Ris-Rez Positive Ph 3 OS Lung Cancer Data in China,5431U,17784209,1770.5,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Microlise Group PLC,SAAS,NOR,Notice of results,Notice of Results,5631U,17784210,49,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,CQS Natural Resources Grwth&Inc PLC,CYN,APP,,Change of AIFM and Investment Manager,5374U,17784211,431,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Insig AI Plc,INSG,MSC,Miscellaneous,Equity allocation in Kibiva Energy SPV,5653U,17784212,11.75,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Goldplat plc,GDP,DIV,Dividend declaration,Special Dividend Declaration,5369U,17784190,17,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Blackrock American Income Trust PLC,BRAI,NRA,,Update note from QuotedData,5168U,17784221,281,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Braemar PLC,BMS,NRA,,Risk Advisory Division Launches Power Desk,5165U,17784220,230.0,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Landore Resources Limited,LND,NRA,,Nevada Portfolio Review & Independent Gold Review,5106U,17784219,2.2,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Talisman Metals PLC ,TLM,NRA,,Tirzzit Drill Campaign Update ,5089U,17784218,7,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Acuity RM Group PLC,ACRM,NRA,,Contract expansion,5382U,17784223,1.075,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Cooks Coffee Company Limited,,NRA,,Appointment of Group Marketing Director,4711T,17784216,,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Blencowe Resources PLC,BRES,MSC,Miscellaneous,Management Change & PDMR Dealings,6020U,17784215,8.26,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Alternative Income REIT PLC,AIRE,MSC,Miscellaneous,Financing Update,6018U,17784214,68.6,,,,,,
2026-09-14 07:00:11,2026-09-14T06:00:11.000,Ariana Resources PLC,AAU,NRA,, Appointment of Executive Chairman,4811U,17784217,1.605,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,SSgA SPDR ETFs Europe I PLC,,DIV,Dividend declaration,Dividend Declaration,5133U,17784169,,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,ZCCM Invs.Hldgs PLC,ZCC,DIV,Dividend declaration,Final Dividend Announcement ,5000U,17784168,,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,Fevertree Drinks PLC,FEVR,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,4949U,17784167,788,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,Central Asia Metals PLC,CAML,UPD,,Update regarding the Scheme of Arrangement,6023U,17784165,169.4,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,Jubilee Metals Group PLC,JLP,UPD,,FY2026 Production and Operational Update ,6021U,17784164,2.35,,,,,,
2026-09-14 07:00:10,2026-09-14T06:00:10.000,Arcontech Group PLC,ARC,FR,Final results,Final Results for the year ended 30 June 2026,5655U,17784163,81,,,,,,
