time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-09-01 10:05:49,2026-09-01T09:05:49.000,Majedie Investments PLC,MAJE,TVR,Total voting rights,Total Voting Rights,9024S,17765007,336,2.595,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/majedie-investments--maje/total-voting-rights/9749201
2026-09-01 10:05:48,2026-09-01T09:05:48.000,Montanaro UK Smlr Cos Inv Tst PLC,MTU,TVR,Total voting rights,Total Voting Rights,9029S,17765006,111.5,-1.545,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/montanaro-uk-smaller-companies-inv-trust--mtu/total-voting-rights/9749200
2026-09-01 10:05:35,2026-09-01T09:05:35.000,Montanaro European Smaller C.TstPLC,MTE,TVR,Total voting rights,Total Voting Rights,9027S,17765005,177.5,-1.934,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/montanaro-european-smaller-companies-trust--mte/total-voting-rights/9749199
2026-09-01 10:05:00,2026-09-01T09:05:00.000,Foresight Group Holdings Limited,FSG,TVR,Total voting rights,Total Voting Rights,1260382-en,17765004,481.5,-3.313,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/gnw/foresight-group-holdings-limited-npv--fsg/total-voting-rights/9749202
2026-09-01 10:05:00,2026-09-01T09:05:00.000,Invesco Global Equity Income Trust,IGET,TVR,Total voting rights,Total Voting Rights,dae654a332,17765008,410.0,-1.205,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/mfn/invesco-global-equity-income-trust-plc--iget/total-voting-rights/9749203
2026-09-01 10:04:33,2026-09-01T09:04:33.000,Mercantile Investment Trust(The)PLC,MRC,TVR,Total voting rights,Total Voting Rights,9023S,17765002,284,-1.73,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/mercantile-investment-trust-the---mrc/total-voting-rights/9749197
2026-09-01 10:04:14,2026-09-01T09:04:14.000,Hansa Investment Company Limited,HAN,TVR,Total voting rights,Total Voting Rights,9020S,17765001,338,1.198,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/hansa-investment-company-limited-di---han/total-voting-rights/9749196
2026-09-01 10:04:02,2026-09-01T09:04:02.000,Impax Environmental Markets PLC,IEM,TVR,Total voting rights,Total Voting Rights,9022S,17765000,444,-1.443,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/impax-environmental-markets--iem/total-voting-rights/9749195
2026-09-01 10:03:16,2026-09-01T09:03:16.000,Alliance Witan PLC,ALW,TVR,Total voting rights,Total Voting Rights,9019S,17764998,1353,-1.885,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/alliance-witan--alw/total-voting-rights/9749193
2026-09-01 10:01:14,2026-09-01T09:01:14.000,Ecofin Global Utilities Inf Tst PLC,EGL,TVR,Total voting rights,Total Voting Rights,9015S,17764997,259,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ecofin-global-utilities-and-infrastructure-trust--egl/total-voting-rights/9749191
2026-09-01 10:00:53,2026-09-01T09:00:53.000,JPMorgan European Discovery Trust,JEDT,TVR,Total voting rights,Total Voting Rights,9016S,17764996,633,-1.555,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/jpmorgan-european-discovery-trust--jedt/total-voting-rights/9749190
